@epoch 57, train_loss : 857.398, dev_loss : 522.771, train_accuracy : 0.774, dev_accuracy : 0.6426
@epoch 58, train_loss : 1263.86, dev_loss : 627.147, train_accuracy : 0.634, dev_accuracy : 0.6446
@epoch 59, train_loss : 893.015, dev_loss : 593.908, train_accuracy : 0.757, dev_accuracy : 0.6024
@epoch 60, train_loss : 1375.45, dev_loss : 678.002, train_accuracy : 0.618, dev_accuracy : 0.4779
@epoch 61, train_loss : 1261.55, dev_loss : 653.169, train_accuracy : 0.626, dev_accuracy : 0.6426
@epoch 62, train_loss : 996.582, dev_loss : 590.959, train_accuracy : 0.694, dev_accuracy : 0.6747
@epoch 63, train_loss : 1530.01, dev_loss : 946.187, train_accuracy : 0.543, dev_accuracy : 0.4217
@epoch 64, train_loss : 1023.05, dev_loss : 524.762, train_accuracy : 0.717, dev_accuracy : 0.6747
@epoch 65, train_loss : 870.597, dev_loss : 480.978, train_accuracy : 0.704, dev_accuracy : 0.6707
@epoch 66, train_loss : 1161.68, dev_loss : 724.941, train_accuracy : 0.616, dev_accuracy : 0.4699
@epoch 67, train_loss : 851.886, dev_loss : 490.619, train_accuracy : 0.71, dev_accuracy : 0.6687
@epoch 68, train_loss : 1094.72, dev_loss : 543.632, train_accuracy : 0.674, dev_accuracy : 0.6526
@epoch 69, train_loss : 1400.05, dev_loss : 891.985, train_accuracy : 0.564, dev_accuracy : 0.4337
@epoch 70, train_loss : 800.222, dev_loss : 418.921, train_accuracy : 0.732, dev_accuracy : 0.6787
@epoch 71, train_loss : 871.977, dev_loss : 447.465, train_accuracy : 0.716, dev_accuracy : 0.6747
@epoch 72, train_loss : 861.288, dev_loss : 540.922, train_accuracy : 0.751, dev_accuracy : 0.5944
@epoch 73, train_loss : 742.061, dev_loss : 461.143, train_accuracy : 0.738, dev_accuracy : 0.6747
@epoch 74, train_loss : 808.211, dev_loss : 532.899, train_accuracy : 0.779, dev_accuracy : 0.6124
@epoch 75, train_loss : 780.683, dev_loss : 425.511, train_accuracy : 0.798, dev_accuracy : 0.6727
@epoch 76, train_loss : 831.774, dev_loss : 482.346, train_accuracy : 0.753, dev_accuracy : 0.7088
@epoch 77, train_loss : 912.011, dev_loss : 551.039, train_accuracy : 0.736, dev_accuracy : 0.5663
@epoch 78, train_loss : 1155.76, dev_loss : 551.019, train_accuracy : 0.669, dev_accuracy : 0.6566
@epoch 79, train_loss : 791.144, dev_loss : 534.821, train_accuracy : 0.78, dev_accuracy : 0.6165
@epoch 80, train_loss : 728.979, dev_loss : 489.46, train_accuracy : 0.803, dev_accuracy : 0.6667
@epoch 81, train_loss : 1088.84, dev_loss : 592.414, train_accuracy : 0.68, dev_accuracy : 0.6606
@epoch 82, train_loss : 1039.15, dev_loss : 671.056, train_accuracy : 0.713, dev_accuracy : 0.5502
@epoch 83, train_loss : 752.388, dev_loss : 458.398, train_accuracy : 0.788, dev_accuracy : 0.7209
@epoch 84, train_loss : 901.566, dev_loss : 493.742, train_accuracy : 0.696, dev_accuracy : 0.6667
@epoch 85, train_loss : 988.983, dev_loss : 555.605, train_accuracy : 0.733, dev_accuracy : 0.5643
@epoch 86, train_loss : 799.035, dev_loss : 445.363, train_accuracy : 0.814, dev_accuracy : 0.6747
